"fitted_model","stacking","pseudo_BMA","n_years_val.x","BMA","n_years_val.y","sim","gen_model","n_years"
"lc",0.376,0.428,1,2.33596490927019e-126,0,21,"mix_cbd_rh",20
"lc",0,0,5,2.33596490927019e-126,0,21,"mix_cbd_rh",20
"lc",0,0,10,2.33596490927019e-126,0,21,"mix_cbd_rh",20
"m6",0,0,5,1,0,21,"mix_cbd_rh",20
"m6",0.196,0,10,1,0,21,"mix_cbd_rh",20
"m6",0.335,0.463,1,1,0,21,"mix_cbd_rh",20
"rh",0.163,0.033,1,7.47893629224579e-122,0,21,"mix_cbd_rh",20
"rh",0,0,5,7.47893629224579e-122,0,21,"mix_cbd_rh",20
"rh",0,0,10,7.47893629224579e-122,0,21,"mix_cbd_rh",20
"apc",0.478,0,10,8.2581026027302e-109,0,22,"mix_cbd_rh",20
"apc",0.648,0.537,1,8.2581026027302e-109,0,22,"mix_cbd_rh",20
"apc",0.882,1,5,8.2581026027302e-109,0,22,"mix_cbd_rh",20
"cbd",0,0,10,2.75000106482712e-55,0,22,"mix_cbd_rh",20
"cbd",0.005,0,5,2.75000106482712e-55,0,22,"mix_cbd_rh",20
"cbd",0,0,1,2.75000106482712e-55,0,22,"mix_cbd_rh",20
"lc",0,0.004,1,6.71329592034527e-144,0,22,"mix_cbd_rh",20
"lc",0.114,0,5,6.71329592034527e-144,0,22,"mix_cbd_rh",20
"lc",0,0,10,6.71329592034527e-144,0,22,"mix_cbd_rh",20
"m6",0,0,5,1,0,22,"mix_cbd_rh",20
"m6",0.522,1,10,1,0,22,"mix_cbd_rh",20
"m6",0,0.175,1,1,0,22,"mix_cbd_rh",20
"rh",0.352,0.284,1,4.68874242869823e-142,0,22,"mix_cbd_rh",20
"rh",0,0,5,4.68874242869823e-142,0,22,"mix_cbd_rh",20
"rh",0,0,10,4.68874242869823e-142,0,22,"mix_cbd_rh",20
"apc",0.977,1,10,1.49138606472251e-105,0,23,"mix_cbd_rh",20
"apc",1,0.903,1,1.49138606472251e-105,0,23,"mix_cbd_rh",20
"apc",1,1,5,1.49138606472251e-105,0,23,"mix_cbd_rh",20
"cbd",0,0,10,4.62738901043809e-49,0,23,"mix_cbd_rh",20
"cbd",0,0,5,4.62738901043809e-49,0,23,"mix_cbd_rh",20
"cbd",0,0,1,4.62738901043809e-49,0,23,"mix_cbd_rh",20
"lc",0,0,1,7.45329777561144e-145,0,23,"mix_cbd_rh",20
"lc",0,0,5,7.45329777561144e-145,0,23,"mix_cbd_rh",20
"lc",0,0,10,7.45329777561144e-145,0,23,"mix_cbd_rh",20
"m6",0,0,5,1,0,23,"mix_cbd_rh",20
"m6",0.023,0,10,1,0,23,"mix_cbd_rh",20
"m6",0,0.097,1,1,0,23,"mix_cbd_rh",20
"rh",0,0,1,3.94472704681676e-140,0,23,"mix_cbd_rh",20
"rh",0,0,5,3.94472704681676e-140,0,23,"mix_cbd_rh",20
"rh",0,0,10,3.94472704681676e-140,0,23,"mix_cbd_rh",20
"apc",0.987,1,10,7.17985314200402e-114,0,24,"mix_cbd_rh",20
"apc",0,0.034,1,7.17985314200402e-114,0,24,"mix_cbd_rh",20
"apc",0.978,1,5,7.17985314200402e-114,0,24,"mix_cbd_rh",20
"cbd",0.013,0,10,6.12037708675932e-46,0,24,"mix_cbd_rh",20
"cbd",0,0,5,6.12037708675932e-46,0,24,"mix_cbd_rh",20
"cbd",0.161,0,1,6.12037708675932e-46,0,24,"mix_cbd_rh",20
"lc",0,0.002,1,1.09661199991618e-146,0,24,"mix_cbd_rh",20
"lc",0.022,0,5,1.09661199991618e-146,0,24,"mix_cbd_rh",20
"lc",0,0,10,1.09661199991618e-146,0,24,"mix_cbd_rh",20
"m6",0,0,5,1,0,24,"mix_cbd_rh",20
"m6",0,0,10,1,0,24,"mix_cbd_rh",20
"m6",0.61,0.907,1,1,0,24,"mix_cbd_rh",20
"rh",0.229,0.058,1,1.75149252526353e-149,0,24,"mix_cbd_rh",20
"rh",0,0,5,1.75149252526353e-149,0,24,"mix_cbd_rh",20
"rh",0,0,10,1.75149252526353e-149,0,24,"mix_cbd_rh",20
"apc",0.969,1,10,0.999094706670848,0,25,"mix_cbd_rh",20
"apc",0.782,0.764,1,0.999094706670848,0,25,"mix_cbd_rh",20
"apc",1,1,5,0.999094706670848,0,25,"mix_cbd_rh",20
