"fitted_model","stacking","pseudo_BMA","n_years_val.x","BMA","n_years_val.y","sim","gen_model","n_years"
"lc",0,0,10,3.57228017172629e-144,0,19,"apc",20
"m6",0,0,5,1,0,19,"apc",20
"m6",0,0,10,1,0,19,"apc",20
"m6",0.599,0.815,1,1,0,19,"apc",20
"rh",0,0.127,1,1.39246201080258e-121,0,19,"apc",20
"rh",0,0,5,1.39246201080258e-121,0,19,"apc",20
"rh",0,0,10,1.39246201080258e-121,0,19,"apc",20
"apc",0.994,1,10,3.17169322207625e-84,0,20,"apc",20
"apc",0.402,0.403,1,3.17169322207625e-84,0,20,"apc",20
"apc",0.91,1,5,3.17169322207625e-84,0,20,"apc",20
"cbd",0.006,0,10,8.76504426958453e-81,0,20,"apc",20
"cbd",0,0,5,8.76504426958453e-81,0,20,"apc",20
"cbd",0,0,1,8.76504426958453e-81,0,20,"apc",20
"lc",0,0,1,8.04340576857516e-148,0,20,"apc",20
"lc",0,0,5,8.04340576857516e-148,0,20,"apc",20
"lc",0,0,10,8.04340576857516e-148,0,20,"apc",20
"m6",0,0,5,1,0,20,"apc",20
"m6",0,0,10,1,0,20,"apc",20
"m6",0.598,0.595,1,1,0,20,"apc",20
"rh",0,0.003,1,1.07100501204792e-112,0,20,"apc",20
"rh",0.09,0,5,1.07100501204792e-112,0,20,"apc",20
"rh",0,0,10,1.07100501204792e-112,0,20,"apc",20
"apc",0.631,1,10,6.01497122429065e-89,0,21,"apc",20
"apc",0.251,0.306,1,6.01497122429065e-89,0,21,"apc",20
"apc",0.98,1,5,6.01497122429065e-89,0,21,"apc",20
"cbd",0,0,10,7.11969940930755e-83,0,21,"apc",20
"cbd",0,0,5,7.11969940930755e-83,0,21,"apc",20
"cbd",0,0,1,7.11969940930755e-83,0,21,"apc",20
"lc",0,0,1,2.99139590593351e-144,0,21,"apc",20
"lc",0.019,0,5,2.99139590593351e-144,0,21,"apc",20
"lc",0,0,10,2.99139590593351e-144,0,21,"apc",20
"m6",0,0,5,1,0,21,"apc",20
"m6",0.369,0,10,1,0,21,"apc",20
