x,a_x
55,-4.536334946608983
56,-4.434436589926906
57,-4.334879132693762
58,-4.240305605253354
59,-4.150049451128824
60,-4.057421462250235
61,-3.9589404414654936
62,-3.859278153549486
63,-3.790295248400468
64,-3.695754442975946
65,-3.5973232893990685
66,-3.5109569259021205
67,-3.4322128174115187
68,-3.3304625498019043
69,-3.2436224949745034
70,-3.1352649305348255
71,-3.0553643266478017
72,-2.9635717341486725
73,-2.8731317797029234
74,-2.775062063629027
75,-2.6793425360853815
76,-2.5819203201015783
77,-2.487585574508647
78,-2.388482059484802
79,-2.288052090233107
80,-2.194183903605522
81,-2.0950633332337265
82,-1.995151740041432
83,-1.911958672518674
84,-1.799791691056931
85,-1.6957482801755839
86,-1.6087554215828652
87,-1.5042468591248428
88,-1.4218412210479994
89,-1.3233317513606373
90,-1.2204291304839017
50,-5.00497559321409
51,-4.910318045300176
52,-4.812284880977569
53,-4.72260160316839
54,-4.633857786716613
55,-4.526158258578963
56,-4.4392268796973555
57,-4.329050098410813
58,-4.2419623099388675
59,-4.147671226793077
60,-4.0496721610415385
61,-3.9727638691249894
62,-3.871824473962955
63,-3.792258079319571
64,-3.6888212748779146
65,-3.5963011272238377
66,-3.5034507357749165
67,-3.425383362298244
68,-3.3440803608928955
69,-3.2343621487158094
70,-3.136338487127011
71,-3.0540788851124545
72,-2.963728915993802
73,-2.8765808992835704
74,-2.7806846449026676
75,-2.689621086905238
76,-2.5794797185991545
77,-2.4893900823875796
78,-2.388235933081713
79,-2.299331235695907
80,-2.1939654549231165
81,-2.1015253755366867
82,-1.997446151397224
83,-1.8963600852877995
84,-1.7974981538291888
85,-1.7010946060185443
86,-1.6117853425924462
87,-1.5017192892024596
88,-1.4205939950137592
89,-1.3236397775277373
90,-1.221051169121073
50,-5.012505562375435
51,-4.905150168368162
52,-4.823927501376919
53,-4.715397372133979
54,-4.635327811676992
55,-4.538505376683865
56,-4.431505253592626
57,-4.3476565809844105
58,-4.2483877122514455
59,-4.152911515813684
60,-4.057433193399271
61,-3.956856993028159
62,-3.8652827240964465
63,-3.7839406459716973
64,-3.692644634871622
65,-3.600881523046254
66,-3.505132376079051
67,-3.4182357849004954
68,-3.3227901376800886
69,-3.2364961263726952
70,-3.137196054968754
71,-3.0558789917372935
72,-2.951548484837629
73,-2.867756582879054
74,-2.7838315626041674
75,-2.6812038333650285
76,-2.5820515484986
77,-2.4848060706851594
78,-2.397511538854309
79,-2.2836569432557234
80,-2.1982405363551716
81,-2.1024773547688813
82,-2.008036657400175
83,-1.9042461273640192
84,-1.809291149383647
85,-1.6994780042185784
86,-1.603661583111053
87,-1.5069027222864988
88,-1.4166624567182642
89,-1.3225464742775834
90,-1.217550323064068
50,-5.016762959669869
51,-4.921051785109533
52,-4.821649361027699
53,-4.727162110889013
54,-4.636938892943877
55,-4.525344079481423
56,-4.452177779516212
57,-4.327795001889022
58,-4.241312647695794
59,-4.149390595218831
60,-4.053403590047912
61,-3.9726640789443963
62,-3.866860837178187
63,-3.7860401419485106
64,-3.6969269933666578
65,-3.5990695700409385
66,-3.510484531847107
67,-3.4238756094959415
68,-3.325711749835595
69,-3.2309956249275995
70,-3.13442728408398
71,-3.0501443142282456
72,-2.9559413366000786
73,-2.8661991544713197
74,-2.783742575494126
75,-2.6759927426514403
76,-2.5720289036890676
77,-2.4797771740078214
78,-2.399450427172229
79,-2.273037318296078
80,-2.191286562762095
81,-2.0981269290096143
82,-1.9948227780355725
83,-1.8978195946342653
84,-1.799381471884631
85,-1.6948415886617894
86,-1.593719048521578
87,-1.4936625935644585
88,-1.405518368401024
89,-1.3076199230990477
90,-1.208990308865716
50,-5.03590241343654
51,-4.947280720073268
52,-4.8479357622738055
53,-4.736479790461992
54,-4.661518795256243
55,-4.569853819371638
56,-4.452533221790682
57,-4.375840071644518
58,-4.27462462601139
59,-4.182311412643067
60,-4.08574220806179
61,-3.9932781568346236
62,-3.885686019428533
63,-3.8080366365970337
64,-3.7270393842791667
65,-3.623729383450364
66,-3.5332648529529904
67,-3.4484397954105517
68,-3.34700504845894
69,-3.2549928220731017
70,-3.159463358820002
71,-3.078482482504688
72,-2.981228403874531
73,-2.8861214583520365
74,-2.8007885940561685
75,-2.6983167164571635
76,-2.593392172175996
77,-2.495281740561007
