t,k_t
2005,-0.5660254820838163
2006,-0.5792077965408332
2007,-0.6179758998453814
2008,-0.6569477275018577
2009,-0.6404750368414612
2010,-0.6628095467766817
2011,-0.6796951504938702
2012,-0.7077314329343016
2013,-0.6817287057692681
2014,-0.7110144759322384
2015,-0.7690527880481464
2016,-0.7670343071525169
2017,-0.7900171209058948
2018,-0.8038670623653711
2019,-0.8045465392274361
1960,0
1961,0.08514201960287426
1962,0.02122016399132217
1963,0.03916757967078132
1964,0.06761674809494943
1965,0.00915486969302027
1966,0.03742643907415353
1967,0.023087190119070376
1968,0.021233661811182674
1969,0.05128478109073431
1970,0.04129946199159349
1971,0.006474107188515046
1972,0.0012096819754972988
1973,-0.030274079650020276
1974,-0.02178147449119444
1975,-0.06558421337339794
1976,-0.042774295010617816
1977,-0.053116195232593984
1978,-0.1191644813614141
1979,-0.1087541529287104
1980,-0.13877975610280677
1981,-0.14515434387302364
1982,-0.1728267639070505
1983,-0.18388859948844008
1984,-0.19131218727048882
1985,-0.21115847956075395
1986,-0.22172170803030097
1987,-0.24480324550131505
1988,-0.30345491083591375
1989,-0.3303376640176791
1990,-0.32363910113445826
1991,-0.3637064992272978
1992,-0.3645417668374399
1993,-0.38787774762263166
1994,-0.3820444876038204
1995,-0.4123123305130403
1996,-0.4078497796181204
1997,-0.41609853824209264
1998,-0.4461585654132446
1999,-0.45719228056712496
2000,-0.45398842559395736
2001,-0.4917641973426423
2002,-0.5227085239541046
2003,-0.5077548129679134
2004,-0.525078485094089
2005,-0.5749214970212538
2006,-0.5934733807541018
2007,-0.6194078175865421
2008,-0.6337224234264678
2009,-0.6385571353776419
2010,-0.6519014084657164
2011,-0.6756276821764367
2012,-0.7083240158731695
2013,-0.6800647208129855
2014,-0.7047408544163747
2015,-0.7554243528333358
2016,-0.7520627901192395
2017,-0.7868964918098275
2018,-0.7919117763497954
2019,-0.8090760820744584
1960,0
1961,0.08631421126868377
1962,0.01875794536375239
1963,0.0567430455065311
1964,0.07170203365637791
1965,2.8678433070499263e-4
